State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Soil_pH,Year,Yield_kg_per_acre
Karnataka,Groundnut,Sandy,Compost,128,61,34,200,33.39,7.29,2004,3791
Uttar Pradesh,Pulses,Clay,Compost,128,94,184,106,20.76,5.77,2011,1187
Karnataka,Barley,Loamy,Compost,36,60,24,254,24.06,6.89,2014,3513
Rajasthan,Maize,Sandy,DAP,72,19,37,57,20.36,7.35,2016,4120
West Bengal,Cotton,Sandy,Compost,102,25,197,198,28.21,6.51,2012,1560
Kerala,Coffee,Red Soil,Compost,87,56,195,121,34.59,6.14,2024,1516
Bihar,Barley,Clay,Compost,113,107,95,164,21.35,6.52,2007,1382
West Bengal,Rice,Black,Urea,13,34,184,295,26.61,6.45,2006,2233
Karnataka,Rice,Black,Urea,58,98,32,235,24.78,6.76,2017,1854
Bihar,Pulses,Loamy,Urea,102,36,126,117,36.82,7.97,2009,4754
Bihar,Tea,Red Soil,Urea,92,76,26,262,35.19,7.52,2016,1396
Bihar,Maize,Black,Urea,36,108,148,255,19.59,7.16,2014,1536
Odisha,Coffee,Sandy,Urea,12,59,131,159,24.63,6.64,2005,1675
Tamil Nadu,Rice,Red Soil,Urea,122,90,185,168,19.14,7.77,2013,1508
West Bengal,Rice,Sandy,NPK,17,51,36,258,29.42,5.87,2005,3004
Karnataka,Coffee,Loamy,DAP,57,74,174,256,29.91,5.91,2023,875
Andhra Pradesh,Jute,Sandy,Compost,101,37,103,297,26.66,6.58,2006,3861
Odisha,Cotton,Sandy,Compost,38,96,148,286,32.13,7.46,2003,1408
Maharashtra,Pulses,Sandy,Compost,57,81,150,80,26.3,7.85,2009,2192
Haryana,Barley,Clay,Urea,101,32,60,78,20.87,6.88,2006,2710
Madhya Pradesh,Soybean,Red Soil,DAP,109,96,102,106,24.91,7.1,2001,1651
Haryana,Pulses,Red Soil,Urea,75,43,193,244,30.65,7.4,2018,857
Punjab,Pulses,Black,Urea,62,52,84,260,24.82,7.6,2021,4022
Odisha,Cotton,Sandy,Urea,17,76,26,279,32.84,5.92,2020,2653
Bihar,Tea,Clay,Compost,44,93,87,215,32.81,5.51,2018,1730
Maharashtra,Coffee,Red Soil,DAP,91,45,48,223,24.41,6.53,2014,895
Haryana,Pulses,Red Soil,DAP,21,18,34,145,20.28,6.39,2001,2441
Maharashtra,Pulses,Red Soil,Organic,91,14,158,239,32.4,6.51,2018,2369
Maharashtra,Wheat,Loamy,Compost,21,96,186,95,34.24,7.4,2017,4671
Kerala,Pulses,Loamy,Compost,44,30,177,95,32.3,5.68,2000,1327
Odisha,Sugarcane,Loamy,Compost,131,81,60,60,36.6,5.67,2009,3331
Madhya Pradesh,Rice,Loamy,Compost,24,94,156,250,26.53,6.29,2004,4446
Tamil Nadu,Coffee,Clay,DAP,71,65,36,289,33.37,6.68,2018,1727
Haryana,Soybean,Sandy,NPK,31,102,102,84,24.1,6.32,2017,3115
Bihar,Coffee,Clay,Organic,98,19,136,238,31.0,6.19,2023,1124
Maharashtra,Pulses,Red Soil,DAP,63,113,197,192,22.08,7.22,2017,777
Tamil Nadu,Rice,Loamy,Compost,33,114,174,197,19.77,5.73,2023,853
Rajasthan,Soybean,Sandy,Organic,55,24,154,288,25.99,7.7,2000,1708
Tamil Nadu,Jute,Black,DAP,138,15,108,217,33.64,6.44,2003,1666
Bihar,Coffee,Red Soil,Organic,58,96,121,230,22.54,7.42,2003,1625
Rajasthan,Tea,Black,DAP,93,65,30,57,35.36,7.83,2021,1761
Maharashtra,Cotton,Loamy,Urea,45,7,64,106,26.05,6.5,2020,2287
Bihar,Soybean,Red Soil,Organic,87,112,52,217,35.08,6.81,2012,1460
Kerala,Maize,Loamy,NPK,44,67,98,114,23.96,7.67,2008,1039
Bihar,Maize,Loamy,Organic,64,72,106,174,32.73,6.0,2014,2410
Uttar Pradesh,Rice,Red Soil,Compost,53,56,130,131,21.97,6.39,2019,3702
West Bengal,Barley,Sandy,NPK,29,35,160,295,18.97,5.86,2010,1540
Rajasthan,Pulses,Black,Compost,42,25,191,108,32.24,6.01,2017,4999
Madhya Pradesh,Tea,Red Soil,DAP,14,74,164,244,29.47,6.25,2012,1788
Haryana,Pulses,Clay,Organic,46,48,73,132,33.67,6.54,2000,1991
Uttar Pradesh,Jute,Sandy,Compost,67,84,17,213,29.54,7.63,2011,3093
Andhra Pradesh,Barley,Loamy,Organic,71,83,62,61,22.17,7.51,2019,3002
Odisha,Rice,Clay,NPK,87,108,169,133,28.89,5.84,2009,80196
Maharashtra,Soybean,Loamy,NPK,121,19,184,231,28.12,7.45,2018,1592
Kerala,Sugarcane,Loamy,NPK,30,53,155,297,27.31,6.69,2008,933
Bihar,Sugarcane,Black,Urea,123,23,197,112,37.34,6.4,2019,35346
Karnataka,Pulses,Sandy,Compost,139,112,71,264,26.57,5.75,2011,1804
Tamil Nadu,Wheat,Clay,DAP,78,42,113,124,24.71,6.21,2016,2013
Andhra Pradesh,Barley,Clay,Organic,68,117,179,70,26.89,7.04,2009,1013
Bihar,Maize,Black,Urea,17,117,104,262,25.14,7.04,2016,4289
Tamil Nadu,Cotton,Black,Organic,116,62,143,180,32.51,5.64,2011,3924
Madhya Pradesh,Coffee,Loamy,Compost,62,47,172,278,31.3,5.54,2006,1458
Rajasthan,Soybean,Clay,Organic,93,21,196,113,29.42,7.05,2004,1689
Maharashtra,Cotton,Loamy,Organic,95,20,184,81,30.63,6.77,2012,1524
Uttar Pradesh,Wheat,Loamy,Organic,88,38,160,274,32.19,7.69,2022,1371
Maharashtra,Pulses,Red Soil,Organic,19,73,194,171,34.9,6.88,2022,3643
Odisha,Pulses,Clay,Compost,110,11,156,94,19.28,6.39,2011,2532
Punjab,Cotton,Clay,Organic,23,80,138,235,32.54,7.59,2012,1452
Punjab,Maize,Red Soil,DAP,95,88,82,231,30.1,7.41,2021,2006
Madhya Pradesh,Jute,Clay,DAP,18,30,114,148,19.8,6.11,2022,2655
Gujarat,Sugarcane,Red Soil,Urea,104,55,66,62,30.43,7.73,2019,3714
Madhya Pradesh,Wheat,Clay,NPK,85,39,66,104,31.63,7.25,2016,2946
Uttar Pradesh,Soybean,Red Soil,NPK,81,93,67,107,22.18,6.33,2012,3753
Gujarat,Soybean,Sandy,NPK,64,30,121,178,26.72,7.4,2003,2106
Gujarat,Rice,Black,Urea,98,8,150,135,36.7,7.83,2003,4530
Andhra Pradesh,Sugarcane,Black,Organic,113,11,96,158,34.27,6.17,2004,1167
Kerala,Barley,Loamy,NPK,117,112,56,229,20.39,6.43,2007,5242
Andhra Pradesh,Barley,Black,Urea,56,56,116,215,24.13,6.08,2018,1352
Haryana,Wheat,Black,Organic,71,25,175,104,31.51,6.34,2008,1420
Madhya Pradesh,Rice,Loamy,NPK,42,110,179,152,26.27,5.97,2000,2007
Andhra Pradesh,Tea,Red Soil,DAP,58,15,136,293,32.32,7.1,2016,1500
Rajasthan,Rice,Black,Organic,69,12,38,274,28.89,6.61,2017,881
Rajasthan,Groundnut,Sandy,NPK,132,36,23,99,29.28,7.56,2013,739
Madhya Pradesh,Jute,Black,Organic,126,67,65,83,20.46,6.01,2019,1284
Tamil Nadu,Rice,Clay,DAP,124,54,141,62,28.41,7.84,2002,3198
Karnataka,Rice,Black,Urea,53,117,74,273,35.46,5.89,2013,1846
Rajasthan,Jute,Black,Compost,51,27,161,101,32.7,5.68,2015,1129
Rajasthan,Rice,Red Soil,Organic,117,10,112,132,21.64,6.44,2024,1658
Haryana,Groundnut,Red Soil,DAP,38,79,15,233,27.8,6.9,2013,1803
Kerala,Wheat,Black,Urea,122,115,21,101,22.98,6.03,2015,1539
Andhra Pradesh,Cotton,Loamy,Urea,35,69,140,165,36.55,7.51,2024,3900
Odisha,Maize,Red Soil,Compost,110,39,41,130,22.81,7.26,2008,3923
West Bengal,Rice,Red Soil,NPK,72,67,145,253,23.14,5.89,2017,2352
Madhya Pradesh,Coffee,Black,Compost,124,13,62,175,21.36,7.57,2001,42719
Uttar Pradesh,Sugarcane,Loamy,Compost,29,110,34,236,20.67,6.13,2023,1966
Kerala,Maize,Loamy,NPK,76,70,53,98,33.93,5.59,2021,861
Andhra Pradesh,Soybean,Loamy,Urea,72,49,51,71,24.25,5.59,2003,2242
Maharashtra,Groundnut,Red Soil,DAP,109,19,96,98,34.99,7.82,2012,2618
Tamil Nadu,Tea,Black,Urea,93,72,28,226,25.11,7.63,2003,2382
West Bengal,Pulses,Loamy,Organic,17,96,122,221,30.09,6.8,2004,2027
Odisha,Pulses,Sandy,Organic,46,93,12,207,19.95,5.74,2008,3305
Odisha,Coffee,Clay,Compost,110,38,91,74,25.78,6.57,2010,1678
Punjab,Rice,Loamy,Organic,40,32,187,124,34.23,5.99,2007,4014
Bihar,Sugarcane,Loamy,Compost,47,111,150,229,35.15,7.95,2023,1005
Odisha,Jute,Clay,Organic,80,51,156,93,32.88,6.17,2012,1746
Karnataka,Wheat,Red Soil,DAP,133,40,152,183,19.14,7.07,2024,1641
West Bengal,Cotton,Red Soil,Urea,129,41,70,171,28.5,7.12,2012,2554
Tamil Nadu,Jute,Black,Urea,69,77,120,263,23.82,7.94,2018,4761
Haryana,Cotton,Sandy,Organic,35,26,105,108,25.62,7.49,2003,777
Uttar Pradesh,Pulses,Sandy,Urea,48,105,197,226,31.41,7.28,2008,741
Odisha,Wheat,Red Soil,Organic,89,49,171,117,31.86,7.61,2002,745
Madhya Pradesh,Rice,Loamy,Compost,117,90,122,54,27.11,6.0,2009,2921
Maharashtra,Jute,Loamy,NPK,87,86,25,130,28.09,6.35,2010,1179
Uttar Pradesh,Coffee,Loamy,DAP,34,43,156,63,34.68,6.46,2007,1958
Tamil Nadu,Barley,Clay,Compost,127,38,31,243,25.84,5.68,2015,2090
Madhya Pradesh,Rice,Clay,DAP,71,40,70,118,29.66,6.46,2019,3821
Bihar,Pulses,Red Soil,Urea,95,94,180,205,18.8,6.65,2009,2978
Kerala,Jute,Black,NPK,14,40,98,239,36.26,6.82,2018,2440
Maharashtra,Tea,Clay,Urea,41,33,109,268,26.11,6.0,2007,1923
Maharashtra,Cotton,Clay,Urea,58,48,173,213,18.56,7.29,2011,2526
West Bengal,Groundnut,Loamy,Urea,110,77,182,165,36.45,7.97,2000,2828
Odisha,Barley,Loamy,Urea,73,27,116,67,27.0,7.0,2006,1116
Punjab,Soybean,Clay,DAP,19,46,44,75,18.48,7.17,2016,2883
Kerala,Barley,Sandy,Organic,95,83,84,153,29.7,7.07,2004,818
Andhra Pradesh,Wheat,Black,Organic,17,90,154,279,36.66,6.78,2010,4816
Tamil Nadu,Jute,Loamy,NPK,39,40,108,226,25.93,6.76,2013,2448
Maharashtra,Barley,Black,Organic,139,28,110,153,32.63,6.56,2015,2220
Uttar Pradesh,Coffee,Red Soil,NPK,16,37,187,109,27.7,6.7,2004,1902
Odisha,Groundnut,Sandy,Urea,92,32,143,222,29.54,5.98,2007,2746
Haryana,Cotton,Loamy,DAP,94,101,178,99,20.09,7.59,2009,1939
Punjab,Sugarcane,Clay,NPK,36,40,50,189,21.54,7.63,2002,744
West Bengal,Groundnut,Loamy,NPK,21,65,92,130,28.1,6.53,2022,1676
Punjab,Barley,Clay,Organic,77,109,144,212,35.98,7.74,2018,2141
Gujarat,Jute,Red Soil,Organic,14,6,170,160,34.38,6.87,2018,2851
Maharashtra,Cotton,Red Soil,NPK,111,16,42,286,19.71,7.7,2018,1273
West Bengal,Maize,Red Soil,Organic,47,64,116,54,32.03,7.55,2003,1843
Bihar,Coffee,Red Soil,DAP,115,7,142,240,29.53,5.98,2010,2938
Kerala,Maize,Red Soil,Compost,32,76,71,231,30.95,6.76,2014,1168
Uttar Pradesh,Pulses,Sandy,Urea,32,106,103,237,25.12,6.39,2015,1470
Rajasthan,Cotton,Loamy,Organic,31,25,93,275,28.98,7.31,2021,1712
Kerala,Barley,Clay,DAP,110,99,79,58,19.36,7.57,2006,1236
Uttar Pradesh,Barley,Red Soil,DAP,26,104,91,241,36.89,5.89,2017,3719
Karnataka,Coffee,Sandy,DAP,65,9,33,296,22.62,6.1,2016,1797
Punjab,Wheat,Loamy,DAP,15,87,90,144,24.58,6.53,2002,4353
Haryana,Wheat,Red Soil,Urea,46,49,190,97,25.25,7.92,2007,3259
Karnataka,Rice,Sandy,Organic,62,38,109,296,32.59,5.55,2020,4699
Haryana,Wheat,Red Soil,Compost,22,6,187,201,26.38,6.74,2023,2175
Karnataka,Pulses,Red Soil,Compost,132,52,163,80,25.27,6.38,2003,3363
West Bengal,Coffee,Sandy,DAP,122,41,145,248,23.15,6.01,2001,1191
Kerala,Rice,Black,Organic,56,89,172,287,20.97,5.91,2017,1254
Karnataka,Cotton,Loamy,Urea,39,65,157,198,32.6,6.98,2010,4647
Andhra Pradesh,Tea,Sandy,Urea,81,103,17,151,34.39,6.94,2023,1067
Tamil Nadu,Pulses,Black,Organic,55,48,114,156,27.48,5.84,2022,3062
Maharashtra,Soybean,Loamy,DAP,84,113,35,283,22.12,6.29,2024,2342
Madhya Pradesh,Coffee,Black,NPK,101,40,197,62,18.51,6.62,2019,1653
Punjab,Pulses,Clay,Organic,121,26,58,51,36.58,5.94,2003,2045
Rajasthan,Maize,Red Soil,NPK,77,57,152,121,23.13,6.5,2012,3248
Madhya Pradesh,Rice,Black,Urea,90,29,133,204,21.62,6.35,2008,2150
Madhya Pradesh,Pulses,Clay,Compost,101,110,190,215,25.06,6.09,2023,1985
Madhya Pradesh,Groundnut,Black,DAP,79,118,74,168,32.48,6.89,2000,5249
Haryana,Groundnut,Red Soil,DAP,118,11,19,151,28.71,7.61,2002,59771
Andhra Pradesh,Cotton,Black,NPK,124,64,178,191,36.22,7.64,2005,1127
Punjab,Coffee,Clay,Compost,72,82,173,178,25.27,5.58,2009,1241
Kerala,Jute,Loamy,NPK,59,9,12,176,36.01,7.4,2006,1835
Rajasthan,Wheat,Loamy,DAP,106,18,64,295,25.42,5.95,2015,2437
Haryana,Jute,Loamy,DAP,51,53,52,128,36.41,6.47,2001,1503
Karnataka,Soybean,Black,Organic,64,7,32,226,31.48,6.3,2022,2376
Punjab,Maize,Black,Organic,14,119,117,293,37.63,5.52,2008,1963
Karnataka,Groundnut,Clay,Compost,118,65,69,133,31.0,6.93,2000,2192
Andhra Pradesh,Cotton,Clay,Organic,108,61,63,263,37.03,6.24,2017,1497
Haryana,Coffee,Sandy,NPK,26,75,92,295,19.5,7.7,2005,1986
Andhra Pradesh,Coffee,Loamy,Organic,58,23,30,168,34.2,7.42,2014,3085
Gujarat,Wheat,Clay,DAP,45,97,199,181,26.85,6.54,2021,1594
Kerala,Pulses,Sandy,Organic,54,45,48,229,31.76,6.54,2012,841
Gujarat,Soybean,Red Soil,Urea,29,39,63,193,30.88,7.37,2023,1180
Gujarat,Jute,Black,Urea,135,11,59,98,35.23,6.54,2009,4371
Tamil Nadu,Cotton,Loamy,Compost,58,110,166,66,26.58,6.92,2007,2105
Rajasthan,Maize,Black,Urea,70,70,38,110,31.53,6.1,2000,1035
Uttar Pradesh,Tea,Sandy,Urea,34,68,163,260,21.32,6.0,2002,79730
Andhra Pradesh,Groundnut,Loamy,Organic,41,109,15,192,25.07,6.45,2018,1315
Andhra Pradesh,Wheat,Black,Urea,28,42,51,263,19.42,7.07,2000,1587
Gujarat,Wheat,Sandy,NPK,11,65,41,240,37.33,6.89,2000,650
Punjab,Maize,Sandy,Urea,67,109,66,227,21.71,7.3,2015,1869
Andhra Pradesh,Pulses,Red Soil,Urea,139,54,13,198,25.3,5.99,2016,2904
Madhya Pradesh,Jute,Black,Organic,131,28,180,271,32.35,6.85,2008,2703
Haryana,Soybean,Red Soil,Organic,115,83,11,235,36.92,6.36,2017,928
Kerala,Barley,Clay,NPK,29,95,166,155,33.04,6.1,2010,1714
Uttar Pradesh,Tea,Loamy,Compost,114,105,117,144,21.8,7.44,2022,1578
Gujarat,Cotton,Loamy,NPK,100,62,118,197,35.69,5.62,2023,1360
Odisha,Wheat,Red Soil,Compost,129,64,29,64,33.31,7.19,2002,940
West Bengal,Pulses,Black,NPK,25,18,65,239,30.99,6.77,2000,2811
Odisha,Sugarcane,Red Soil,Urea,49,92,61,211,24.69,5.86,2003,1575
Maharashtra,Coffee,Clay,Organic,42,82,104,238,20.41,6.95,2005,4087
Uttar Pradesh,Maize,Loamy,Organic,28,16,40,91,26.37,5.62,2022,3544
Tamil Nadu,Pulses,Clay,Organic,32,72,150,112,31.43,7.27,2018,4760
Haryana,Soybean,Sandy,Urea,57,71,122,61,19.54,6.34,2004,2918
West Bengal,Soybean,Red Soil,Organic,67,100,77,256,18.27,6.39,2019,1730
Uttar Pradesh,Tea,Black,Compost,122,112,71,157,37.74,7.63,2013,957
Uttar Pradesh,Groundnut,Black,Organic,23,89,38,258,19.39,7.55,2011,2043
Karnataka,Maize,Clay,Organic,121,104,47,96,18.79,5.82,2016,5247
Odisha,Coffee,Clay,DAP,72,87,158,299,36.52,5.65,2011,905
Uttar Pradesh,Coffee,Black,Compost,105,20,178,68,24.19,5.62,2023,2099
Rajasthan,Maize,Black,Compost,120,22,63,120,22.2,5.86,2020,1299
Haryana,Groundnut,Clay,NPK,33,64,127,290,24.56,5.56,2010,1083
Kerala,Rice,Sandy,Compost,75,33,63,67,22.97,6.17,2023,2193
Uttar Pradesh,Pulses,Red Soil,NPK,47,40,110,153,19.75,7.36,2023,889
Uttar Pradesh,Groundnut,Loamy,NPK,25,19,28,288,36.65,6.62,2022,6407
Gujarat,Rice,Clay,Organic,76,74,29,69,31.45,7.27,2013,957
Bihar,Barley,Loamy,Compost,85,111,159,152,37.53,6.65,2009,3076
West Bengal,Coffee,Black,NPK,78,14,102,81,34.17,6.66,2011,2245
Tamil Nadu,Coffee,Black,Urea,118,17,20,272,23.12,6.72,2017,2336
Gujarat,Barley,Clay,Urea,33,43,60,109,29.13,6.39,2009,4336
Gujarat,Coffee,Clay,Organic,73,54,135,269,32.55,6.65,2000,6244
Tamil Nadu,Wheat,Black,Compost,132,61,112,224,26.48,7.3,2023,88455
Karnataka,Wheat,Loamy,Urea,128,66,13,130,31.26,7.8,2000,2598
Madhya Pradesh,Coffee,Red Soil,Organic,56,100,95,272,33.09,5.89,2002,1371
Punjab,Tea,Red Soil,Compost,113,91,21,240,31.55,6.78,2008,2550
Rajasthan,Barley,Red Soil,NPK,65,65,67,238,27.84,7.42,2017,4587
Haryana,Rice,Red Soil,DAP,139,37,91,110,24.64,6.4,2008,2153
Karnataka,Jute,Clay,Organic,71,110,47,256,20.16,7.79,2018,935
Rajasthan,Pulses,Clay,DAP,23,89,68,171,35.39,5.71,2012,1726
Karnataka,Wheat,Loamy,Urea,65,61,192,89,23.54,5.63,2020,1158
Rajasthan,Rice,Loamy,Urea,35,13,137,230,20.25,7.32,2018,4842
Andhra Pradesh,Coffee,Clay,Organic,122,39,132,244,19.23,5.67,2018,1078
Maharashtra,Rice,Loamy,Organic,90,8,11,166,26.89,5.72,2018,2240
Tamil Nadu,Maize,Loamy,Urea,34,23,125,258,18.24,6.55,2012,7257
Kerala,Pulses,Loamy,Urea,14,68,190,252,20.13,7.46,2022,1630
Bihar,Tea,Black,Urea,59,67,122,134,26.79,7.19,2002,35707
Odisha,Coffee,Clay,NPK,56,116,52,176,23.97,7.93,2015,3693
Tamil Nadu,Tea,Loamy,NPK,138,36,31,76,27.03,6.58,2017,1511
Andhra Pradesh,Sugarcane,Black,DAP,115,37,76,153,20.91,6.62,2000,1372
Maharashtra,Rice,Black,NPK,94,86,149,275,33.16,6.65,2010,2476
Kerala,Barley,Red Soil,DAP,71,57,162,262,29.38,7.75,2011,2180
Madhya Pradesh,Coffee,Red Soil,Organic,131,57,191,184,19.74,6.78,2015,1692
Haryana,Tea,Loamy,Urea,73,74,86,143,28.18,6.69,2014,1877
Kerala,Maize,Black,Compost,10,103,82,186,26.55,6.01,2002,3499
Odisha,Tea,Loamy,DAP,129,31,191,149,30.97,7.75,2022,1436
Bihar,Coffee,Loamy,Compost,99,6,170,177,35.72,6.49,2015,815
West Bengal,Rice,Loamy,DAP,107,22,68,227,18.42,7.19,2014,1317
Madhya Pradesh,Sugarcane,Black,Organic,26,80,164,261,23.96,7.09,2003,2462
Maharashtra,Wheat,Red Soil,Compost,47,93,93,275,36.58,7.93,2009,2469
Punjab,Jute,Clay,Compost,82,62,23,171,20.63,7.65,2012,4202
West Bengal,Pulses,Loamy,Compost,100,79,63,281,31.81,8.0,2002,4672
West Bengal,Pulses,Loamy,DAP,103,88,61,259,20.38,7.61,2021,1539
Haryana,Cotton,Red Soil,DAP,135,39,91,286,35.87,6.66,2008,1452
Uttar Pradesh,Coffee,Red Soil,Organic,118,102,98,192,34.88,5.79,2005,1533
Uttar Pradesh,Groundnut,Black,DAP,136,85,131,257,25.44,7.74,2018,5083
Odisha,Wheat,Clay,Urea,131,25,131,174,30.34,7.17,2015,656
Kerala,Groundnut,Red Soil,Urea,19,90,185,93,22.5,6.57,2007,2629
Punjab,Barley,Clay,Compost,110,27,90,70,19.19,6.64,2021,4714
Maharashtra,Wheat,Black,Urea,69,50,27,77,24.0,6.02,2002,2371
Bihar,Groundnut,Red Soil,Compost,58,72,37,148,33.1,6.18,2003,1515
West Bengal,Jute,Sandy,Organic,117,103,177,107,21.49,7.14,2014,4789
Gujarat,Coffee,Loamy,Organic,117,25,163,143,29.01,6.64,2008,1356
Punjab,Wheat,Black,Organic,17,24,156,160,21.27,6.61,2021,1705
Uttar Pradesh,Cotton,Clay,Organic,15,6,173,134,27.54,6.36,2017,878
West Bengal,Jute,Red Soil,DAP,99,76,60,278,30.02,6.55,2009,3318
Bihar,Coffee,Red Soil,Organic,62,50,97,276,31.82,7.88,2023,2678
Gujarat,Wheat,Loamy,Urea,24,64,36,241,19.12,6.71,2003,1356
West Bengal,Soybean,Loamy,Urea,83,90,121,145,18.28,5.76,2010,5371
West Bengal,Wheat,Clay,DAP,42,104,159,234,26.11,6.32,2002,2861
Gujarat,Jute,Loamy,Compost,85,53,31,179,20.71,6.72,2004,3604
Odisha,Coffee,Sandy,Urea,99,90,87,264,28.77,7.61,2000,1094
Karnataka,Barley,Loamy,Organic,109,51,124,71,22.35,6.4,2023,2861
Andhra Pradesh,Cotton,Loamy,NPK,120,36,26,72,29.92,5.88,2020,2766
Maharashtra,Barley,Clay,Compost,10,109,137,184,23.49,5.71,2017,3900
Uttar Pradesh,Maize,Sandy,Compost,84,26,49,118,20.69,6.21,2011,4963
Odisha,Soybean,Loamy,Urea,68,32,37,55,18.15,6.91,2002,1365
West Bengal,Maize,Loamy,NPK,36,19,48,60,21.09,6.03,2023,1705
Rajasthan,Barley,Clay,Urea,68,103,133,265,34.16,6.1,2019,1859
Punjab,Groundnut,Red Soil,NPK,129,61,102,259,31.92,7.57,2022,3335
Tamil Nadu,Wheat,Clay,Organic,79,78,39,266,33.33,6.17,2024,1712
Punjab,Sugarcane,Black,Compost,107,86,132,240,30.01,5.52,2010,3771
Kerala,Coffee,Sandy,Compost,79,51,136,260,19.09,6.21,2023,1350
West Bengal,Soybean,Red Soil,Compost,64,64,107,168,19.8,6.6,2024,778
Rajasthan,Coffee,Loamy,DAP,27,95,123,292,23.15,6.62,2002,2301
Uttar Pradesh,Rice,Red Soil,Compost,41,81,118,165,27.01,7.77,2021,1498
Tamil Nadu,Pulses,Black,NPK,29,104,121,241,37.51,7.01,2014,2980
Andhra Pradesh,Pulses,Loamy,Urea,132,104,183,128,21.8,7.81,2012,1091
Kerala,Wheat,Sandy,Compost,49,100,135,220,23.79,7.38,2001,1841
Kerala,Jute,Loamy,Organic,111,59,133,64,25.87,7.4,2000,2908
Rajasthan,Soybean,Clay,Urea,99,36,79,279,24.52,7.27,2002,1567
Uttar Pradesh,Barley,Loamy,DAP,67,68,162,167,25.89,6.3,2002,1485
Uttar Pradesh,Tea,Clay,Organic,45,79,133,87,26.05,6.09,2005,3174
Gujarat,Pulses,Clay,NPK,43,15,101,296,34.57,6.43,2016,915
Haryana,Jute,Sandy,Organic,23,103,45,193,35.91,5.63,2019,5080
Punjab,Tea,Black,NPK,71,23,163,147,24.0,7.43,2023,1013
Uttar Pradesh,Pulses,Clay,Organic,53,19,140,264,23.44,7.39,2020,3213
Andhra Pradesh,Jute,Sandy,Organic,77,23,164,212,27.32,5.92,2011,829
Andhra Pradesh,Groundnut,Sandy,NPK,37,17,41,287,21.23,7.11,2002,2846
Maharashtra,Cotton,Sandy,DAP,89,66,127,53,20.67,6.21,2007,1359
Andhra Pradesh,Sugarcane,Red Soil,Organic,124,106,138,207,29.05,5.54,2003,3376
Punjab,Rice,Black,NPK,66,5,97,117,27.49,7.82,2008,2504
Madhya Pradesh,Cotton,Loamy,Compost,20,7,120,57,23.66,6.24,2000,3645
Punjab,Maize,Loamy,Organic,84,69,162,284,19.2,5.64,2001,787
Rajasthan,Barley,Loamy,Compost,127,45,199,159,19.05,6.25,2010,977
Kerala,Groundnut,Clay,Urea,46,59,159,229,21.85,7.84,2015,2213
Bihar,Wheat,Sandy,DAP,38,114,59,112,19.59,6.97,2007,726
West Bengal,Tea,Black,Urea,126,105,165,53,21.62,5.75,2023,2133
Kerala,Coffee,Sandy,Organic,26,102,163,232,23.61,7.99,2006,1205
Bihar,Maize,Sandy,Urea,55,88,12,182,32.15,7.92,2008,1694
Andhra Pradesh,Barley,Black,Organic,112,67,138,92,28.22,7.83,2012,1634
Bihar,Soybean,Clay,Urea,74,98,190,239,30.69,6.51,2008,1525
Gujarat,Rice,Sandy,NPK,120,16,58,208,24.2,6.38,2019,1657
Rajasthan,Coffee,Loamy,NPK,124,45,133,293,23.0,7.26,2012,2018
Rajasthan,Jute,Sandy,Organic,10,34,183,92,29.99,5.94,2002,2734
Andhra Pradesh,Pulses,Sandy,NPK,89,117,63,237,31.9,5.69,2011,2572
Kerala,Coffee,Loamy,NPK,66,81,170,99,22.33,7.08,2013,1537
Bihar,Pulses,Sandy,Urea,62,28,163,145,30.82,5.74,2003,2061
Punjab,Cotton,Red Soil,Organic,126,105,174,241,33.97,7.84,2015,4729
West Bengal,Jute,Loamy,Urea,43,36,68,223,37.91,6.42,2006,2168
Punjab,Wheat,Black,Compost,72,68,86,286,37.95,6.8,2020,1548
Punjab,Rice,Red Soil,DAP,85,112,57,83,31.25,6.68,2008,2325
Haryana,Coffee,Clay,DAP,115,90,56,290,28.01,6.25,2000,3959
Rajasthan,Rice,Loamy,Organic,18,34,40,286,19.76,7.52,2000,2436
Haryana,Jute,Loamy,Compost,39,69,117,272,35.95,7.48,2008,1640
West Bengal,Tea,Sandy,DAP,13,89,150,119,19.28,5.82,2012,2070
Punjab,Tea,Clay,Organic,48,30,55,161,27.14,7.98,2005,2874
Bihar,Pulses,Red Soil,Compost,96,95,76,71,34.2,5.85,2011,3594
Tamil Nadu,Pulses,Sandy,DAP,18,96,32,196,29.51,6.94,2010,858
Gujarat,Rice,Clay,Urea,66,111,105,172,28.65,7.75,2000,1998
Uttar Pradesh,Cotton,Clay,DAP,127,26,150,71,26.93,7.84,2009,2709
West Bengal,Cotton,Clay,Compost,84,89,111,194,28.25,7.11,2000,3643
West Bengal,Rice,Sandy,DAP,10,67,91,179,21.44,6.98,2021,5635
Andhra Pradesh,Jute,Clay,DAP,63,61,171,140,25.75,5.94,2005,2577
Karnataka,Maize,Loamy,Organic,65,15,68,200,26.0,6.99,2006,2155
Maharashtra,Groundnut,Loamy,Organic,36,19,84,205,18.21,5.78,2017,6746
Maharashtra,Coffee,Red Soil,DAP,65,85,144,80,25.86,7.51,2000,2422
Odisha,Tea,Black,Urea,11,84,129,50,24.16,5.76,2013,799
Karnataka,Groundnut,Black,Urea,113,95,102,188,24.21,6.67,2024,4032
