Crop,Rainfall_mm,Temperature_C,Fertilizer_Used,Irrigation_Used,Weather_Condition,Soil_Type,Region,Nitrogen,Phosphorus,Potassium,Soil_pH,Yield_kg_per_acre
Cotton,618.7,33.2,0,0,Stormy,Silty,South,82,60,55,6.83,1032.3
Wheat,489.8,22.2,0,0,Rainy,Silty,North,138,75,77,7.64,2298.6
Cotton,937.7,37.5,0,1,Cloudy,Clay,North,115,54,37,7.3,1392.2
Soybean,978.8,15.2,0,1,Rainy,Chalky,South,72,57,34,5.77,2006.8
Barley,1100.5,23.7,0,1,Stormy,Chalky,Central,139,86,40,6.35,1866.5
Barley,394.4,30.7,0,1,Sunny,Sandy,South,117,53,71,6.53,2163.0
Rice,1162.2,34.1,0,0,Rainy,Silty,North,136,95,70,6.58,2996.4
Sugarcane,1167.5,22.9,1,0,Stormy,Clay,South,84,89,48,7.23,4969.2
Cotton,1027.3,21.9,1,0,Windy,Clay,South,84,30,77,6.83,1689.1
Rice,773.7,27.9,0,0,Cloudy,Peaty,Central,127,46,82,4.5,3179.5
Wheat,992.5,38.5,1,0,Rainy,Peaty,West,54,67,84,5.45,2142.9
Wheat,851.9,17.8,0,1,Sunny,Clay,North,134,43,90,4.75,2613.8
Rice,1190.6,25.1,0,1,Windy,Peaty,Central,56,37,61,6.64,2974.1
Barley,790.0,28.6,1,1,Stormy,Silty,South,51,46,75,6.69,2279.4
Wheat,932.4,22.2,0,0,Cloudy,Loamy,South,61,73,65,6.73,2541.5
Sorghum,378.5,22.2,0,1,Sunny,Silty,West,62,74,47,5.73,1911.2
Soybean,991.6,25.6,0,0,Stormy,Clay,North,129,40,103,7.04,1733.6
Soybean,675.1,28.8,0,0,Stormy,Clay,North,117,78,47,7.07,1517.6
Sorghum,1053.7,25.8,0,0,Rainy,Silty,East,51,53,41,5.5,2156.4
Rice,1136.5,35.8,0,1,Rainy,Peaty,North,107,77,101,5.33,3054.1
Sorghum,717.0,30.6,0,0,Sunny,Peaty,West,90,67,75,6.5,1652.4
Cotton,909.4,29.3,1,0,Stormy,Chalky,East,52,73,84,7.93,1270.1
Cotton,952.3,33.2,1,1,Rainy,Clay,East,96,37,67,7.86,1856.6
Rice,1010.4,29.4,0,0,Cloudy,Sandy,South,94,22,107,6.95,2751.5
Sorghum,1137.0,24.3,1,1,Cloudy,Chalky,South,121,43,31,5.92,1922.1
Cotton,1097.7,25.4,0,0,Stormy,Peaty,North,67,20,38,7.21,785.6
Barley,786.0,20.2,0,1,Rainy,Silty,East,83,25,34,6.14,2466.6
Sorghum,1379.5,39.0,0,0,Sunny,Peaty,South,58,38,48,5.89,1586.6
Barley,1125.6,32.6,0,0,Sunny,Silty,West,85,62,100,4.78,2277.1
Cotton,1321.5,11.6,1,1,Sunny,Chalky,South,42,27,68,6.58,1785.0
Soybean,1004.0,35.0,1,0,Cloudy,Clay,South,122,88,71,6.0,2173.2
Cotton,1021.7,18.2,1,1,Rainy,Peaty,East,59,71,46,6.58,1940.2
Barley,864.8,30.1,1,0,Rainy,Silty,East,64,92,92,4.66,2606.4
Maize,766.9,13.8,0,1,Cloudy,Clay,Central,114,66,119,6.64,2946.7
Sugarcane,1192.6,24.4,1,0,Sunny,Sandy,West,95,47,75,4.56,5485.5
Wheat,979.4,35.0,0,0,Sunny,Silty,East,120,65,49,7.37,2568.3
Sorghum,860.5,35.4,0,0,Stormy,Chalky,North,100,23,99,6.92,1422.9
Maize,593.2,28.8,1,1,Windy,Sandy,West,94,27,37,6.28,2957.7
Cotton,1366.5,31.7,0,1,Rainy,Sandy,West,74,80,48,6.95,1563.4
Soybean,933.8,18.5,1,1,Rainy,Loamy,East,117,36,61,5.72,2853.9
Rice,532.0,30.2,1,1,Rainy,Peaty,West,98,53,48,6.56,3310.6
Cotton,924.4,32.1,1,1,Windy,Silty,East,78,39,53,7.14,1821.8
Soybean,839.7,42.4,1,0,Stormy,Sandy,South,96,99,53,4.5,1639.4
Sugarcane,827.4,23.3,1,0,Windy,Loamy,Central,122,93,85,6.14,5558.0
Cotton,1072.9,27.1,0,0,Sunny,Chalky,South,106,53,110,6.48,1445.5
Barley,840.1,27.5,1,0,Sunny,Clay,East,73,62,47,6.34,2753.0
Rice,808.4,31.2,1,0,Rainy,Silty,East,80,29,41,7.67,3457.2
Soybean,1308.7,32.3,0,1,Cloudy,Sandy,South,61,49,70,5.6,2083.8
Soybean,378.1,33.4,1,0,Rainy,Peaty,North,66,44,116,6.0,1767.7
Soybean,884.6,32.9,1,1,Cloudy,Loamy,North,60,76,77,4.97,2518.7
Sugarcane,1178.7,18.1,0,0,Windy,Sandy,North,80,82,111,7.71,4746.5
Cotton,1088.1,11.3,0,1,Sunny,Peaty,East,70,90,93,6.3,1647.4
Sugarcane,1206.0,23.9,1,1,Cloudy,Sandy,West,66,66,45,6.15,5500.7
Sorghum,1506.5,26.8,0,1,Windy,Silty,East,76,22,109,6.46,2241.5
Wheat,1409.7,23.3,1,0,Sunny,Silty,West,105,65,52,7.01,2989.5
Wheat,553.3,24.2,0,0,Cloudy,Silty,South,93,55,115,6.78,2437.1
Sorghum,416.8,25.0,1,0,Rainy,Chalky,Central,48,45,68,8.5,1598.3
Cotton,998.1,30.5,1,0,Rainy,Chalky,West,122,29,62,6.86,1836.0
Barley,493.8,20.8,1,1,Rainy,Loamy,North,81,53,53,6.13,2399.5
Sugarcane,322.1,26.5,0,1,Windy,Silty,East,75,97,90,6.05,5325.0
Rice,994.9,26.6,1,1,Rainy,Peaty,South,49,27,84,6.19,3354.8
Soybean,1070.1,30.3,0,1,Stormy,Sandy,North,98,74,90,5.3,1889.6
Soybean,1413.3,34.0,1,0,Sunny,Clay,South,79,29,113,6.53,2456.8
Cotton,1130.5,37.1,1,1,Windy,Peaty,Central,93,76,69,7.13,1754.9
Barley,1475.9,22.5,1,0,Rainy,Chalky,East,78,98,87,6.01,2499.8
Wheat,1006.7,15.0,1,1,Sunny,Chalky,East,46,64,101,5.85,2724.1
Wheat,559.1,25.5,1,1,Cloudy,Peaty,Central,43,69,103,7.71,2524.6
Soybean,1146.7,17.5,0,1,Rainy,Chalky,East,54,83,30,5.36,2096.6
Cotton,1300.3,43.4,0,0,Sunny,Silty,West,115,21,114,4.85,1459.7
Sugarcane,1017.3,21.8,0,0,Stormy,Loamy,South,87,64,54,5.58,4861.1
Wheat,1335.2,30.4,1,1,Cloudy,Sandy,North,45,81,82,5.27,2865.3
Sugarcane,863.0,32.6,1,1,Stormy,Loamy,Central,112,33,90,6.81,5541.6
Barley,1063.8,29.0,0,1,Sunny,Sandy,West,74,93,75,6.21,2391.2
Wheat,847.7,39.5,1,0,Stormy,Sandy,North,111,34,103,6.32,1965.5
Wheat,1613.7,25.8,1,0,Sunny,Loamy,North,110,33,89,7.42,3242.5
Maize,1152.4,22.0,1,0,Sunny,Peaty,Central,107,50,80,5.95,2935.8
Wheat,565.0,21.7,0,1,Stormy,Sandy,West,97,48,102,7.12,2214.1
Sorghum,1455.8,31.5,0,0,Sunny,Loamy,North,116,46,113,7.71,2246.3
Rice,680.0,25.9,0,1,Rainy,Sandy,North,58,28,77,6.14,2690.0
Sorghum,904.1,21.7,0,0,Sunny,Clay,West,101,39,113,7.09,1728.2
Cotton,1040.5,29.6,0,1,Windy,Peaty,East,110,77,69,6.31,1483.8
Cotton,1065.0,31.3,1,1,Sunny,Silty,North,49,98,36,7.24,2167.4
Sugarcane,1045.1,28.6,1,0,Windy,Sandy,South,64,68,104,5.24,5325.4
Sorghum,560.1,32.4,1,1,Sunny,Clay,West,83,76,114,5.18,2200.6
Sorghum,1046.1,27.5,1,1,Sunny,Silty,North,138,35,48,6.19,2673.7
Sorghum,1230.2,23.4,0,1,Stormy,Silty,Central,97,94,44,5.79,1816.8
Barley,1221.6,31.9,0,0,Rainy,Sandy,South,64,27,99,6.09,1940.7
Wheat,509.5,21.7,1,1,Rainy,Loamy,North,132,86,90,6.32,3294.2
Rice,703.3,20.2,0,0,Cloudy,Sandy,South,115,38,85,7.08,2467.9
Sugarcane,586.6,33.9,1,0,Stormy,Clay,South,79,86,39,6.17,4951.8
Sorghum,1001.9,24.9,1,1,Stormy,Silty,East,115,55,75,5.84,2292.5
Sorghum,434.5,37.0,1,0,Rainy,Sandy,South,109,79,109,6.22,1837.9
Maize,563.2,32.1,1,1,Stormy,Loamy,East,49,55,104,5.88,3015.4
Sugarcane,700.5,24.5,0,0,Rainy,Sandy,West,105,30,86,5.75,4665.6
Sorghum,361.0,29.9,1,1,Stormy,Peaty,East,64,70,64,5.21,1961.7
Sugarcane,891.7,42.2,0,0,Sunny,Loamy,Central,110,99,101,6.56,5498.9
Wheat,268.1,31.5,1,1,Rainy,Clay,North,126,74,32,6.05,2786.7
Maize,1045.6,30.5,1,1,Rainy,Silty,West,50,73,95,7.27,3803.0
Sugarcane,780.9,23.4,1,1,Windy,Sandy,West,75,36,82,5.34,5100.7
Rice,712.8,38.1,1,1,Stormy,Loamy,Central,88,81,107,6.07,3263.2
Rice,761.8,34.9,0,0,Stormy,Peaty,East,87,61,81,7.95,2584.1
Cotton,881.9,23.5,1,0,Rainy,Loamy,North,126,43,82,5.75,1905.1
Maize,1077.9,38.3,0,1,Sunny,Chalky,East,46,36,83,6.31,2492.4
Maize,1295.1,28.0,1,0,Sunny,Peaty,South,130,67,76,5.53,2923.4
Cotton,1204.2,22.0,1,1,Sunny,Clay,East,116,89,32,5.42,2481.6
Sugarcane,1569.5,23.4,1,1,Stormy,Silty,West,90,26,94,7.74,5458.3
Maize,1102.6,32.3,0,0,Windy,Clay,North,56,33,44,6.64,2512.3
Rice,942.1,22.0,1,0,Rainy,Sandy,East,71,30,113,6.61,2882.7
Rice,762.9,20.4,1,1,Cloudy,Loamy,North,65,31,115,5.14,3634.9
Sorghum,772.9,24.4,1,0,Windy,Chalky,North,61,24,63,6.79,1510.8
Wheat,1061.7,25.3,1,1,Cloudy,Peaty,South,52,24,79,7.43,2614.5
Maize,600.2,23.0,1,0,Windy,Peaty,South,51,39,62,7.42,2603.7
Sugarcane,968.7,24.3,0,0,Sunny,Loamy,West,110,73,102,7.03,5178.4
Cotton,894.3,32.5,0,0,Stormy,Chalky,Central,40,74,32,5.6,721.7
Cotton,681.6,28.5,1,0,Cloudy,Loamy,North,72,77,31,6.75,1984.9
Sugarcane,584.6,23.9,1,0,Windy,Sandy,Central,53,98,33,7.03,4913.0
Barley,1657.4,24.4,0,1,Stormy,Clay,West,103,49,45,5.06,2307.0
Soybean,481.0,26.2,1,0,Cloudy,Peaty,North,82,43,83,5.6,1967.4
Wheat,879.7,26.6,0,0,Rainy,Sandy,North,97,92,62,7.21,2181.6
Cotton,1266.8,26.6,1,1,Windy,Clay,Central,80,22,38,7.2,2212.1
Maize,1058.7,32.3,1,1,Rainy,Sandy,East,120,67,86,5.26,3099.4
Wheat,757.9,28.2,0,1,Sunny,Chalky,South,107,90,69,7.14,2464.0
Maize,542.4,28.4,1,0,Rainy,Peaty,East,78,41,81,6.58,2836.3
Barley,938.9,35.6,0,0,Rainy,Loamy,Central,40,33,111,7.12,2368.9
Rice,108.1,38.3,0,1,Windy,Loamy,South,80,67,45,5.99,3011.0
Wheat,951.0,19.6,0,1,Sunny,Clay,East,84,48,37,7.02,2589.4
Sorghum,910.4,17.5,1,1,Rainy,Silty,South,127,69,116,7.18,2605.4
Cotton,1221.0,24.9,0,1,Stormy,Chalky,North,137,99,89,6.22,1373.8
Wheat,557.0,31.7,0,0,Cloudy,Clay,East,137,29,65,6.51,1890.5
Wheat,803.0,29.3,1,0,Rainy,Silty,South,127,90,32,5.98,2588.1
Wheat,1031.1,33.3,1,0,Sunny,Sandy,South,118,46,44,7.82,2441.4
Soybean,961.7,24.6,1,0,Rainy,Chalky,South,120,98,111,6.4,2074.2
Wheat,497.2,15.3,1,0,Cloudy,Sandy,East,52,47,52,5.76,1943.9
Maize,705.7,18.8,1,1,Sunny,Peaty,West,110,28,32,5.93,3195.5
Rice,1320.0,30.4,1,0,Windy,Chalky,East,48,90,59,6.6,2915.8
Barley,977.8,33.4,0,1,Sunny,Silty,Central,102,99,74,7.1,2566.3
Sugarcane,400.8,15.6,1,1,Windy,Peaty,East,138,45,46,5.43,4913.8
Wheat,1165.0,35.5,0,1,Sunny,Loamy,South,62,27,87,7.98,2765.9
Cotton,420.2,29.8,1,0,Cloudy,Silty,North,93,21,87,6.75,1253.9
Wheat,807.9,26.6,0,1,Cloudy,Clay,East,86,76,86,6.87,2546.7
Cotton,1069.0,23.2,0,0,Sunny,Loamy,East,78,71,36,6.42,1684.0
Maize,1264.1,36.5,1,1,Rainy,Loamy,South,126,77,68,6.52,3635.1
Cotton,198.6,32.4,1,0,Cloudy,Clay,North,65,22,107,6.38,1189.6
Sorghum,1113.5,29.9,0,1,Windy,Chalky,North,40,27,87,7.31,1693.9
Sugarcane,1158.5,22.6,1,0,Windy,Loamy,Central,53,78,85,6.49,5211.7
Rice,732.9,36.7,1,1,Stormy,Silty,East,135,21,44,7.11,3042.3
Cotton,927.3,27.2,0,1,Windy,Peaty,North,113,81,73,6.15,1584.7
Cotton,100.0,28.8,0,1,Stormy,Loamy,North,104,68,41,6.66,1595.0
Rice,100.0,27.4,0,1,Sunny,Silty,West,108,39,37,5.86,3145.4
Sugarcane,1232.6,22.4,1,0,Sunny,Sandy,West,106,48,109,7.47,5203.1
Wheat,738.3,28.9,1,0,Sunny,Silty,North,88,36,70,5.83,2776.6
Cotton,796.1,31.2,1,0,Rainy,Peaty,Central,89,93,63,6.24,1757.1
Rice,970.4,24.4,1,1,Rainy,Silty,North,97,41,75,6.25,3754.1
Sorghum,790.2,28.4,0,1,Stormy,Clay,South,92,25,117,6.22,2151.0
Sorghum,762.4,27.4,1,1,Windy,Peaty,East,130,81,58,7.08,2036.2
Maize,1018.3,32.5,0,1,Windy,Chalky,Central,96,50,45,6.25,2624.8
Rice,451.3,25.2,1,1,Sunny,Sandy,South,125,81,34,7.62,3519.0
Maize,1248.0,28.4,1,1,Cloudy,Clay,Central,57,31,34,5.85,3510.6
Sorghum,830.9,29.6,0,0,Rainy,Chalky,South,55,31,59,6.64,1247.6
Sugarcane,598.3,25.1,1,0,Rainy,Silty,East,41,82,79,5.88,5356.6
Wheat,557.9,22.0,1,0,Sunny,Peaty,East,52,35,34,6.84,2563.0
Rice,912.8,23.0,0,0,Rainy,Sandy,West,84,44,42,6.49,3179.6
Barley,808.1,29.5,1,0,Sunny,Clay,South,119,41,78,6.38,2623.3
Sorghum,435.3,25.6,0,0,Stormy,Chalky,West,111,95,118,7.45,1162.9
Sorghum,719.4,25.5,0,0,Windy,Chalky,South,82,37,79,5.98,1221.5
Barley,657.2,30.6,0,0,Cloudy,Sandy,West,111,64,43,6.97,2183.2
Soybean,1278.6,33.1,0,1,Windy,Silty,East,93,99,75,5.88,2368.1
Sorghum,939.1,34.2,1,1,Windy,Sandy,Central,113,87,119,6.59,1961.1
Cotton,1370.8,23.3,1,1,Stormy,Chalky,West,136,31,111,5.54,1578.1
Sugarcane,687.0,32.5,1,1,Rainy,Loamy,South,70,68,113,5.97,5743.5
Rice,812.7,39.5,0,1,Cloudy,Clay,South,115,52,63,6.43,3146.0
Barley,1016.0,27.8,1,1,Rainy,Sandy,East,48,82,100,7.95,2429.5
Cotton,1081.2,26.6,1,1,Windy,Chalky,South,112,37,76,6.58,1593.8
Barley,1116.3,25.3,1,0,Sunny,Silty,North,87,73,89,7.82,2453.3
Rice,633.7,20.6,1,0,Windy,Chalky,Central,57,46,103,6.68,2835.9
Maize,642.1,32.1,0,1,Rainy,Silty,West,133,97,108,6.19,3101.5
Rice,793.4,26.6,0,0,Windy,Sandy,Central,135,44,110,7.73,2726.7
Soybean,1344.3,26.1,1,0,Sunny,Silty,East,126,53,40,6.85,2809.0
Rice,599.8,31.1,0,0,Stormy,Peaty,West,50,79,114,5.99,2367.1
Rice,741.9,31.7,1,0,Rainy,Peaty,West,101,73,79,6.88,3088.0
Soybean,1119.0,23.4,1,0,Windy,Peaty,North,123,24,33,6.27,2029.0
Sugarcane,1102.9,23.5,1,1,Rainy,Loamy,East,58,55,70,4.91,5801.3
Sorghum,1066.6,23.3,0,0,Stormy,Sandy,South,139,73,88,7.25,1630.8
Rice,924.3,39.7,1,1,Windy,Chalky,North,129,55,89,7.38,3108.9
Soybean,580.5,35.9,0,1,Windy,Chalky,North,113,88,110,7.97,1628.4
Cotton,692.8,31.2,0,1,Rainy,Loamy,Central,63,58,91,6.84,1939.4
Maize,1237.9,24.7,1,0,Rainy,Silty,Central,52,89,113,6.3,3468.6
Maize,1132.1,25.5,0,1,Sunny,Loamy,Central,85,23,54,7.17,3046.8
Rice,499.5,29.2,0,1,Stormy,Silty,North,92,93,116,7.18,3128.2
Sugarcane,1160.8,40.3,1,1,Sunny,Silty,South,137,84,108,7.81,5896.6
Sugarcane,1292.6,28.7,0,1,Windy,Clay,West,68,59,62,6.46,5273.5
Cotton,916.1,30.1,0,0,Rainy,Chalky,Central,75,56,48,6.37,1356.1
Rice,1027.9,11.7,1,1,Windy,Peaty,South,110,86,86,5.93,3077.1
Maize,1203.4,28.5,1,1,Windy,Silty,East,133,50,44,6.93,3530.6
Sugarcane,691.3,18.6,0,1,Cloudy,Clay,Central,56,96,70,5.26,5062.7
Rice,1598.9,24.1,1,1,Cloudy,Chalky,West,87,66,98,7.12,3211.7
Barley,1266.9,27.3,1,0,Windy,Peaty,East,116,46,109,6.97,2172.7
Sugarcane,1057.2,25.2,0,1,Rainy,Silty,East,63,70,89,6.97,5559.2
Soybean,889.6,23.2,0,1,Windy,Silty,West,93,39,51,6.61,1963.3
Barley,1048.4,23.2,1,1,Cloudy,Loamy,Central,134,32,72,7.73,3130.6
Sorghum,431.9,25.7,0,1,Rainy,Loamy,North,130,82,61,7.2,2416.1
Sugarcane,1524.6,25.5,1,1,Windy,Chalky,West,124,63,42,6.01,5629.8
Maize,1238.7,27.1,1,1,Stormy,Peaty,West,40,43,67,6.03,2867.2
Wheat,1339.2,26.7,0,0,Stormy,Silty,West,118,22,55,5.8,2309.5
Barley,909.2,34.7,0,1,Windy,Chalky,East,106,29,110,6.94,1783.9
Sorghum,791.9,14.7,1,0,Rainy,Chalky,South,45,84,34,5.7,1895.6
Cotton,697.7,28.5,1,0,Windy,Sandy,North,117,68,78,7.37,1450.2
Cotton,1144.1,27.4,1,1,Windy,Loamy,Central,94,77,34,7.56,2173.9
Maize,746.2,26.2,1,0,Cloudy,Peaty,Central,77,96,100,5.8,3111.4
Sugarcane,843.8,22.8,0,1,Stormy,Silty,South,72,97,77,6.35,4944.3
Rice,1063.9,26.1,1,0,Cloudy,Chalky,West,47,21,47,6.51,2902.0
Sugarcane,702.2,17.2,0,1,Cloudy,Silty,North,129,85,35,7.21,5340.7
Maize,1213.2,28.2,0,0,Windy,Sandy,Central,118,50,95,7.79,2406.1
Cotton,894.7,29.3,1,0,Cloudy,Peaty,Central,117,87,106,5.15,1615.4
Sugarcane,447.6,22.8,0,1,Stormy,Chalky,West,59,56,71,6.25,4585.0
Cotton,699.0,38.6,0,0,Cloudy,Silty,South,94,92,81,6.29,1350.0
Barley,1292.5,26.3,1,0,Stormy,Loamy,North,87,43,40,5.38,2562.0
Sorghum,618.9,27.3,0,0,Cloudy,Sandy,South,122,96,55,6.11,1393.3
Rice,1168.2,35.0,0,0,Stormy,Peaty,South,95,63,50,6.84,2656.8
Barley,936.5,39.9,1,0,Cloudy,Sandy,North,136,60,95,6.28,2300.6
Cotton,848.5,20.3,1,1,Cloudy,Loamy,North,139,93,69,5.26,2069.6
Cotton,1653.8,23.5,1,0,Rainy,Peaty,Central,127,70,85,8.5,1791.5
Wheat,514.7,26.4,1,0,Stormy,Sandy,Central,49,61,80,6.71,1648.7
Wheat,678.0,22.5,1,1,Stormy,Clay,North,91,97,49,6.59,2377.7
Barley,893.0,32.1,1,1,Stormy,Loamy,East,89,59,110,5.62,2659.7
Soybean,1624.7,21.9,1,1,Sunny,Loamy,Central,73,67,109,6.71,2895.6
Barley,893.7,34.6,0,0,Cloudy,Loamy,East,75,23,86,6.37,2340.5
Wheat,982.3,30.7,0,0,Stormy,Clay,North,100,79,34,4.99,1944.9
Cotton,799.2,34.0,1,0,Sunny,Clay,Central,139,58,43,5.64,1902.2
Maize,1007.6,21.9,0,0,Rainy,Silty,South,55,24,53,7.14,2701.9
Barley,817.9,24.7,0,1,Stormy,Chalky,North,118,25,97,8.06,1673.0
Cotton,1108.6,32.4,1,1,Stormy,Sandy,West,57,33,81,6.79,1414.9
Maize,1132.3,31.3,0,0,Sunny,Silty,East,110,89,77,7.38,2921.6
Maize,829.8,25.3,1,0,Cloudy,Sandy,North,86,97,117,6.38,2615.6
Wheat,562.4,26.1,0,0,Rainy,Chalky,North,125,31,76,6.43,2062.7
Barley,928.1,24.4,1,0,Stormy,Clay,Central,71,81,89,7.37,2134.2
Sugarcane,1320.6,26.0,0,1,Cloudy,Chalky,Central,82,46,102,7.83,5337.2
Rice,652.0,21.2,0,1,Rainy,Clay,Central,122,73,32,7.54,3315.5
Wheat,1000.2,20.2,0,0,Windy,Chalky,West,79,31,38,5.65,2057.4
Wheat,538.3,33.0,1,1,Windy,Silty,Central,104,27,111,6.45,2822.6
Sugarcane,588.1,25.8,0,0,Rainy,Peaty,North,74,93,112,6.72,4935.7
Rice,1290.1,33.9,0,0,Sunny,Silty,Central,108,35,53,6.29,3000.2
Cotton,1107.5,30.6,1,1,Rainy,Sandy,South,89,71,33,6.81,1905.5
Soybean,1004.7,28.9,1,0,Rainy,Silty,Central,51,45,38,7.16,2433.4
Barley,203.5,22.7,0,1,Sunny,Loamy,West,115,27,30,7.3,2595.8
Soybean,734.1,19.7,0,0,Sunny,Sandy,South,124,64,64,7.85,1869.4
Cotton,1082.0,24.3,0,1,Cloudy,Chalky,North,97,38,103,6.24,1661.1
Sorghum,465.3,36.2,0,0,Cloudy,Sandy,North,122,36,41,5.41,1275.1
Wheat,793.8,32.3,1,1,Sunny,Peaty,East,102,84,47,6.79,2729.9
Rice,1130.0,23.7,0,0,Windy,Clay,South,112,48,107,8.01,2960.3
Wheat,446.7,24.3,0,0,Windy,Chalky,East,88,33,39,6.12,1939.1
Maize,396.2,21.4,1,1,Rainy,Sandy,South,75,36,103,7.05,2913.9
Wheat,451.9,17.7,0,0,Stormy,Chalky,South,93,32,47,7.06,1518.8
Wheat,1000.3,27.6,0,1,Rainy,Chalky,West,86,82,53,6.65,2548.3
Cotton,732.9,37.4,0,1,Rainy,Chalky,East,71,52,30,6.51,1140.1
Cotton,1163.4,37.4,1,0,Stormy,Clay,West,138,48,108,5.76,1735.5
Cotton,936.3,30.6,1,0,Sunny,Silty,South,134,56,101,4.67,1859.3
Soybean,1464.2,23.4,0,0,Windy,Chalky,North,92,65,111,5.61,1441.0
Maize,528.8,18.3,0,0,Rainy,Loamy,South,71,43,45,6.19,2716.6
Sorghum,999.5,33.3,1,1,Stormy,Peaty,West,101,33,114,7.38,2176.5
Sorghum,661.4,29.7,0,0,Cloudy,Clay,East,76,24,44,6.42,1764.6
Cotton,1080.1,25.1,0,0,Rainy,Sandy,East,135,72,91,6.08,1553.3
Rice,936.0,24.1,1,0,Windy,Clay,West,77,49,34,5.79,3059.7
Soybean,602.1,30.6,1,1,Sunny,Sandy,East,69,79,74,7.03,2225.5
Sugarcane,852.9,22.0,1,0,Rainy,Clay,Central,97,92,81,7.59,5163.7
Rice,921.9,28.4,0,1,Rainy,Sandy,North,71,47,100,7.35,2697.8
Barley,720.2,19.7,0,0,Stormy,Chalky,North,105,45,36,6.98,1484.0
Barley,1118.2,40.4,0,1,Cloudy,Silty,North,90,37,56,5.32,2590.9
Rice,590.7,22.9,0,0,Cloudy,Sandy,East,50,55,118,6.22,2615.8
Cotton,1527.3,30.9,1,0,Sunny,Sandy,East,98,27,115,8.06,1888.8
Sugarcane,1186.1,19.8,0,1,Windy,Loamy,South,59,37,42,7.4,5490.5
Sugarcane,1004.6,26.0,0,0,Sunny,Sandy,South,76,77,46,5.27,4989.3
Soybean,1753.6,32.3,1,0,Rainy,Loamy,North,112,51,73,6.46,2680.0
Sugarcane,807.2,33.6,1,0,Rainy,Peaty,Central,88,68,42,6.79,5040.8
Barley,1083.4,31.6,0,1,Cloudy,Chalky,South,58,67,119,5.89,2432.5
Maize,966.8,26.2,1,0,Windy,Loamy,South,94,90,102,4.65,3205.0
Cotton,1139.2,23.0,1,1,Stormy,Silty,East,79,84,34,6.58,1662.9
Sugarcane,1348.8,20.5,0,1,Windy,Chalky,Central,46,52,62,5.87,4735.6
Soybean,1064.7,36.0,0,1,Rainy,Loamy,North,44,69,33,5.87,2485.1
Barley,1212.5,27.6,0,0,Stormy,Chalky,South,81,23,55,6.22,1469.5
Maize,734.9,28.7,0,1,Windy,Chalky,Central,127,55,97,6.39,2894.5
Wheat,838.2,34.0,1,1,Windy,Chalky,Central,87,47,45,6.49,1988.6
Wheat,1391.5,30.5,1,0,Stormy,Peaty,North,46,22,51,5.79,2407.9
Maize,1079.1,26.2,0,1,Rainy,Silty,Central,50,25,65,6.32,3196.3
Barley,974.5,31.5,0,1,Windy,Clay,Central,112,64,87,5.09,2307.8
Soybean,674.0,23.3,1,0,Stormy,Clay,Central,88,42,84,6.75,1796.5
Maize,1190.0,17.7,0,0,Rainy,Loamy,South,69,26,64,4.5,3183.9
Cotton,665.6,35.5,0,1,Stormy,Chalky,North,80,80,54,6.27,1081.7
Cotton,577.2,23.8,0,0,Stormy,Loamy,Central,42,84,101,7.24,986.4
Wheat,934.5,25.2,0,0,Windy,Peaty,Central,125,25,110,5.65,1847.0
Sugarcane,179.3,25.7,1,0,Rainy,Peaty,South,79,43,90,7.07,5045.3
Soybean,1083.3,23.4,0,1,Windy,Sandy,North,90,56,47,7.42,1872.1
Wheat,1013.1,33.6,1,1,Sunny,Peaty,East,123,64,87,4.5,2639.1
Sugarcane,794.2,29.2,0,0,Sunny,Sandy,South,71,70,105,6.38,4873.0
Sugarcane,821.4,25.2,0,1,Rainy,Silty,North,87,64,86,4.5,5347.0
Sorghum,864.2,19.3,1,0,Stormy,Loamy,Central,110,82,116,6.41,1972.3
Cotton,663.3,28.8,0,0,Windy,Silty,North,110,48,92,6.49,1469.3
Barley,955.4,12.3,1,0,Windy,Peaty,North,59,44,41,4.51,2187.7
Rice,825.2,28.4,0,0,Rainy,Silty,North,128,29,40,8.04,3235.1
Barley,933.7,35.1,0,0,Rainy,Silty,East,74,54,42,6.73,2096.1
Rice,853.3,27.4,0,1,Sunny,Silty,North,63,74,64,5.82,3393.0
Maize,794.2,34.2,0,1,Cloudy,Peaty,East,79,44,56,7.67,2707.4
Cotton,983.5,19.6,0,1,Rainy,Chalky,Central,116,64,118,5.06,1335.4
Sugarcane,1134.3,39.2,1,1,Cloudy,Silty,East,91,31,96,5.52,5687.3
Soybean,742.6,33.6,1,0,Rainy,Sandy,Central,78,23,118,4.66,2259.7
Rice,1018.6,29.9,0,0,Stormy,Peaty,Central,107,86,74,7.94,2547.7
Barley,1055.8,23.4,0,1,Stormy,Silty,East,100,36,103,6.77,1971.9
Sugarcane,514.8,22.4,1,1,Sunny,Chalky,South,115,92,110,7.03,5364.1
Rice,1193.0,26.6,1,0,Sunny,Peaty,West,120,84,96,6.74,3167.0
Rice,1516.9,34.2,0,0,Cloudy,Clay,North,104,72,51,6.96,3201.7
Sorghum,873.6,19.1,0,0,Rainy,Chalky,West,101,76,107,6.56,1707.6
Rice,848.6,27.1,1,1,Windy,Sandy,North,120,47,71,6.72,3161.0
Soybean,836.1,31.4,0,0,Sunny,Silty,North,41,35,49,6.59,1921.2
Cotton,1086.2,32.6,1,0,Windy,Clay,Central,45,40,77,6.01,1506.0
