State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Yield_kg_per_acre,Soil_pH,Year,Humidity_pct,Solar_Radiation_W_m2,Irrigation_Method,Pesticide_Usage_kg_ha
Madhya Pradesh,Maize,Loamy,Urea,38.93927056360501,68.01140261233058,153.43246275176304,65.02709348363616,27.96451588680216,463.5244909780875,6.555111566277553,2016,43.9727487691089,221.703956765678,Sprinkler,2.5543375058668216
Haryana,Cotton,Loamy,Compost,63.91174367800867,10.254065237308874,62.49736899535949,133.34032686791352,37.98724843735401,100.0,7.748234856742018,2014,39.40562571909836,491.2851607664575,Sprinkler,3.312860972664285
Tamil Nadu,Wheat,Red Soil,Organic,50.71027949530912,110.35571949121834,142.34729970941586,301.0300038214194,34.69611490563759,717.0367053531066,6.387195507715277,2010,71.00576490943624,614.0895977150274,Sprinkler,1.4838194583849496
Tamil Nadu,Wheat,Black Soil,Urea,76.22628859705472,119.67593140530262,188.3090627612852,303.1962534913305,32.89954457086874,633.455622520223,8.008896852493121,2017,65.62107719452399,363.6132066370658,,0.6120840139766178
Tamil Nadu,Maize,Black Soil,Urea,75.77525701622754,81.89032024262895,84.21843731094016,180.67035438713395,21.602774044633254,477.36655168693005,6.967108113015511,2018,75.28964750173986,539.9779917616851,Sprinkler,0.3053060836108388
Uttar Pradesh,Sugarcane,Loamy,DAP,51.39737013281409,106.1604325684402,84.64170259976589,163.69196131110914,26.099005559184,414.247017887908,7.588011357788098,2006,48.56775458677095,431.9233553420973,Drip,0.3499050568367461
Maharashtra,Cotton,Clay,DAP,62.81859005362549,48.25051141798508,132.0443192064021,291.5695569969126,19.416755780374217,345.96909143438984,6.663724153420141,2024,56.8782993829314,463.1196734811131,Sprinkler,4.033829895409121
Gujarat,Maize,Sandy,Urea,61.40500551225312,83.00712095328788,99.60364848493364,290.98269357350813,28.558286821615784,525.4905566661313,7.926312878171947,2003,54.32830057982511,594.5940960639438,Flood,0.2638153559952212
Uttar Pradesh,Rice,Sandy,Organic,72.80782462420126,68.04210270763018,109.3064459907055,152.02430516324688,18.332052390167643,1149.349002598311,7.961574370856195,2021,89.04536783799085,519.8056925885151,Sprinkler,0.9712713853165476
Haryana,Maize,Black Soil,Urea,100.31841877122984,36.75923703380821,71.05875953525465,164.86695736541785,29.312827223317345,314.1742277397732,7.88990722866993,2006,47.53493740436328,296.56441321156376,Sprinkler,0.8137561506197478
Madhya Pradesh,Soybean,Alluvial,DAP,67.50335304234193,96.76712638266392,145.16132446420522,180.47082550058565,36.3998304326878,573.2010560569183,6.060239071474741,2023,47.689034300806014,402.3574460268402,Sprinkler,4.011723037855597
Karnataka,Maize,Clay,Compost,72.72407841360378,45.05435050620866,105.96596625591528,93.28178860992776,21.467856006476826,345.58467926012923,6.601943182800238,2018,51.27289252971645,597.533573488876,Drip,1.2990013999831904
Punjab,Maize,Loamy,Urea,50.96657925657762,47.721727918451066,152.0889064151592,291.25715260065624,31.314776270443517,597.2496766256046,5.833300461624822,2015,63.87564487741929,544.8942718192998,Drip,11.27959797336952
Uttar Pradesh,Soybean,Sandy,Compost,88.85671329029407,61.00366618507266,197.8389318611957,103.1714223459766,25.74828690076131,554.5359064046386,6.253531576679314,2001,45.13936465582472,674.8135572524284,Drip,2.671618858642616
Maharashtra,Soybean,Loamy,Urea,131.352286127834,8.698447379135217,108.11501737132576,180.9958492339537,37.78757402176609,557.7347424119874,5.818447264226728,2004,84.91739642275644,668.2647594013297,Sprinkler,3.806592375567501
Karnataka,Groundnut,Black Soil,DAP,108.80504140418668,6.135222661132207,161.5137564687143,145.75371970204102,29.52178896549157,394.7593680762492,6.245597845299711,2017,45.94113389197581,465.7754869853208,Flood,0.2077726856287798
Tamil Nadu,Groundnut,Clay,Compost,95.65867753883144,77.02185677662308,153.00251033116592,161.02905111586944,33.74394207451958,777.3878980852627,7.1357319528225975,2019,83.74894389361168,750.3237805069489,Flood,0.5836539822482758
Punjab,Rice,Sandy,Compost,98.21201376403816,56.89460281684076,41.41151403513832,194.0161954976472,26.147572821094844,925.2735627306683,5.503753829474402,2013,36.20850381879508,502.4479669851911,,0.2910834763378006
Karnataka,Rice,Sandy,DAP,57.78208256869887,60.232582350102746,69.44149120514321,184.70734390182903,32.30272119187279,721.1529516006136,6.884278948698185,2016,69.39376214397913,403.7331465590975,Sprinkler,1.2458321822580884
Odisha,Maize,Loamy,Compost,69.56529713041266,76.50617673565283,91.27029227274704,251.0087900078261,23.4687854419937,583.2718729221847,6.756852380250392,2024,84.41913110629463,436.6360134089423,Flood,2.5337363792309384
Uttar Pradesh,Cotton,Sandy,Compost,55.36990485823453,45.40984108640062,105.0952718597024,159.22177235529296,32.31668054787623,242.2827371804099,6.83941986197207,2007,40.12496630389377,274.32748947105813,Drip,0.3704039661703015
Gujarat,Groundnut,Alluvial,Urea,63.11135923379141,40.83904153115025,72.39553075132063,134.43914680537972,36.34752947159882,212.45732558293366,7.219089203576174,2016,88.0996176059553,660.7019008249281,Drip,0.2789116309839488
Punjab,Maize,Clay,DAP,99.96407119096594,5.320724538689214,109.5028127278166,53.0064312529176,33.71256760985876,376.8521104644859,5.516583286335242,2023,57.17300162493071,659.4761989043864,Drip,1.9069924475592317
Tamil Nadu,Maize,Sandy,Compost,120.36981421172295,66.24363909589677,96.01590748954496,185.73785298216131,24.908615637965287,774.2987965712833,6.584738390768155,2000,86.74290650646147,398.4492561186679,Sprinkler,0.5235420407280562
Karnataka,Groundnut,Clay,Organic,41.02070739205154,78.1607585121591,15.10233019750629,119.23446590749413,17.943047279312818,267.16259726123354,6.915917497350591,2013,70.60920261780282,477.2115711618094,Drip,1.3052587401322864
Haryana,Cotton,Clay,Compost,49.397490560089935,88.85857622917497,91.58801465624416,246.23481085605823,18.100560563953085,280.5037694014678,5.494217996574594,2019,48.09521219241309,509.5607544112577,Drip,0.1049410851504233
Andhra Pradesh,Maize,Alluvial,Organic,79.09295623650229,69.34789764783525,155.3132437296346,203.43995878572795,24.940445930522213,658.3891973464421,6.250988805987261,2021,41.29815149502639,403.9646947857887,Sprinkler,2.2827023138566545
Haryana,Sugarcane,Alluvial,Compost,113.83248816638256,56.55002064116942,39.77109652125763,218.9340263712922,28.818650525355867,452.829877024827,5.748411890324902,2012,48.22410277350596,324.48979687288386,Sprinkler,1.5587891824213351
Haryana,Cotton,Black Soil,Urea,56.19026603129031,40.612978750640686,159.06554751488116,217.3254339110472,27.538049743144665,285.8246908800807,6.704458688565346,2009,35.5810445557605,478.9642396223088,Sprinkler,2.0849719085768954
Gujarat,Groundnut,Red Soil,Organic,81.05023508473491,6.713315632586592,88.58939854220094,182.09551087512315,27.996383604499744,236.8362386408133,6.392851771315523,2022,38.63207798059979,467.89205705407534,Sprinkler,0.6442886110004608
Uttar Pradesh,Maize,Red Soil,DAP,87.69732594532205,44.15115614781191,22.35699783876505,139.95022663473776,23.045379819168257,239.99352617236966,5.77640059920039,2008,36.27962642078887,461.1588759011225,Drip,0.653131269896112
Haryana,Wheat,Black Soil,Organic,5.836092032872666,64.4522087285593,117.3994620499416,168.696642274437,31.642578135982284,645.6663943310185,7.279608167155086,2016,55.37661262449346,522.2716062600964,Drip,3.232527642977596
Madhya Pradesh,Cotton,Loamy,DAP,78.89316513784598,46.586713630991866,72.40721414807417,276.66741385984574,26.866095388407544,199.51679736693285,7.134514924565727,2000,77.73470257545519,642.9519658525992,Drip,2.535688432841454
Madhya Pradesh,Soybean,Loamy,Organic,38.03152095658102,56.61174493771124,73.61253650333526,104.43712218900563,33.14839209869223,287.8480241697944,6.47334214069861,2013,38.48301325298041,469.6907280308274,Drip,1.7337094154849009
Andhra Pradesh,Rice,Sandy,Organic,51.232236683571,59.93286559850566,170.54131410070806,203.0405534495958,27.81678562384453,1330.6216033186377,7.123315985637567,2021,37.81922599034015,517.0442998721363,Sprinkler,1.9784943733836309
Andhra Pradesh,Soybean,Loamy,DAP,72.60011143852242,32.65162843524609,76.37067639789261,130.67547272350177,37.54848844838612,186.92453351168587,6.992454980251647,2021,68.60573697103985,572.6870523744936,Flood,0.1975294747487534
Odisha,Maize,Clay,Organic,80.77839868821408,10.967405543896538,159.43298289125744,61.468881088363936,33.57468094402873,243.97776014991433,6.389905187671854,2004,41.83097891808398,555.4142926512749,Sprinkler,3.8782646036073065
Karnataka,Groundnut,Loamy,DAP,110.06778210415312,55.40886930318194,179.9423325426162,137.0136067027627,27.36514188697472,762.2333261169406,7.665225569315207,2015,35.8566022865395,438.5576475552158,Sprinkler,2.9385436948607464
Odisha,Cotton,Red Soil,Urea,99.09892581539302,24.30132617794695,111.20688785595974,144.07383790532492,24.76671941433433,255.25152544070292,7.987920367145188,2004,40.01091469233466,509.6377123114036,Flood,1.7855954029578214
Madhya Pradesh,Maize,Loamy,Organic,41.3340078795452,74.033035275502,138.38621807716075,299.28686548735567,22.94522941145349,688.6591024572235,5.647603497716044,2006,85.42388375260657,554.7539820169053,Drip,5.016640386554576
Uttar Pradesh,Rice,Black Soil,Organic,109.37799018794766,99.91340648956896,77.21008910731298,231.01969551095027,31.208168891962515,1347.964199698085,5.936480733365101,2019,79.28827516657145,387.16486624892224,Drip,0.36937969644562
Odisha,Soybean,Black Soil,Urea,67.15216539008328,87.17753208980892,69.60601692228404,297.21846640352305,25.635728276969964,402.1007124857135,7.205218569302444,2015,51.24387374130565,626.3539010796508,Sprinkler,2.320916147569878
Madhya Pradesh,Soybean,Clay,DAP,37.00475419701347,53.39508582896577,65.7481306685971,161.77139853434932,37.02105001888291,326.08373988458186,6.503201160973714,2016,69.34924603964356,643.1588905214111,Sprinkler,6.592689983373329
Madhya Pradesh,Cotton,Alluvial,DAP,20.595592498204912,47.93354184956682,55.77197786791037,123.38626517550556,21.017077217226458,132.89384163626016,7.817376009158412,2005,62.236540420082285,427.7219744555506,Sprinkler,0.7421533472111012
Gujarat,Maize,Red Soil,Urea,43.8369517104887,89.29647004757985,149.4242396293905,149.35485181728217,37.78708792449346,512.63917344151,6.21480918379272,2002,70.62745580895384,519.3670018348168,Flood,0.0308208948088585
Andhra Pradesh,Maize,Alluvial,Urea,98.04967954580462,96.87461117549137,202.74193695063516,175.9093418973524,30.38694066496465,724.4196263491755,8.046968476527748,2002,70.96026914776556,564.2278256671032,Drip,2.655050906743564
Andhra Pradesh,Wheat,Black Soil,DAP,118.18874225275124,40.87051225473432,56.0537339981591,165.80829020847193,28.0581626460604,346.9729325920365,6.029379884315939,2020,67.72404090359957,445.4385843671248,Sprinkler,0.014009601779372
Punjab,Maize,Sandy,Compost,72.62546621715342,64.74062699917727,133.21601307592027,168.44711522725004,35.17009454367067,642.2262420423713,6.246026748440399,2020,45.96608211223852,548.1613845688095,Drip,4.119805728739281
Uttar Pradesh,Maize,Alluvial,Compost,96.99806960168983,51.17601424117336,98.9318801184817,162.57063298072973,19.861349953477337,517.8434468327797,7.336644402899789,2009,32.340385245769085,516.3255626292165,Flood,0.115896573516567
Gujarat,Maize,Loamy,DAP,107.49902956433608,77.1742612819532,74.35737800171326,50.80339044823523,24.837130081869773,400.29852935890966,7.949099156956074,2018,57.33400691940653,353.2081822361199,Flood,2.11550543376979
Punjab,Groundnut,Sandy,DAP,107.4809960071904,6.291242872865809,193.2440953178991,208.39196638448195,25.477816671107544,567.8661513971233,6.560122928711532,2001,83.45843308144222,545.9161315978558,Drip,0.9470087616186944
Odisha,Sugarcane,Alluvial,DAP,67.61053688873419,93.68988101122204,104.74367414138248,144.7155978837299,28.45534763152932,423.9865438003406,5.477847150938052,2017,64.16983551111456,389.9857583728964,Drip,0.4546562230653616
Maharashtra,Wheat,Sandy,Compost,51.488093240191176,24.248596828927,81.02522238163748,196.121534417016,32.62665300121138,254.09735718544565,6.6718410874564,2012,79.94346250211447,593.9202851662047,Drip,4.5706380238263495
Odisha,Rice,Loamy,Organic,37.77080324829542,12.268679160763138,171.8166348899246,144.36264737269713,27.42355119102353,682.9279507662134,5.500016026467987,2022,89.49746057767369,432.8788924866111,Drip,2.7427788033469898
Tamil Nadu,Wheat,Clay,Compost,20.21768548367848,118.50157595100926,62.01764466355765,105.55708894007115,32.3241840766488,212.906719766914,6.685633721366588,2014,39.81697224829658,483.8714566338855,Sprinkler,0.8323663826295994
Odisha,Cotton,Black Soil,Organic,97.77198143249102,88.12794916670055,29.751347873122786,259.3344397137033,25.298660914751416,264.6414325369329,6.9131904549536864,2008,71.50665834851894,637.2278913446576,Sprinkler,0.6685779034465411
Maharashtra,Maize,Red Soil,Urea,67.96957152931485,59.84960676076085,127.2255344756699,82.92523283882252,22.050886961062428,459.74308342546135,6.503572393401182,2020,70.45761442200148,549.6381646528845,,2.6637054914247504
Gujarat,Groundnut,Black Soil,DAP,137.6850340217526,4.765738927815742,59.95595157244038,245.01106933833265,25.493770436761537,380.54011957664676,7.196412048639195,2023,88.7973268414967,392.05260804254544,Sprinkler,3.6227503622894894
Maharashtra,Groundnut,Clay,Organic,7.851926931263232,70.6951688321729,108.0837028570662,181.56870944365943,20.61091499520143,517.6513250518027,5.741574230348114,2008,89.13604403716802,398.5083429200917,Drip,2.5165092904434454
Uttar Pradesh,Soybean,Loamy,Compost,102.8289261235027,58.29424059985488,126.49534306169777,151.82368719584764,33.423650401306745,675.8797014162099,6.849891359446963,2019,71.20071670344777,440.0697211376274,Drip,2.043242635047229
Madhya Pradesh,Groundnut,Black Soil,Compost,72.47016870198,4.029099169953675,52.58881389993998,254.53407260309584,37.95382047950675,205.2451876690981,7.308843803261095,2022,44.616887518931655,539.4644083356666,Drip,0.5173464549569288
Karnataka,Groundnut,Black Soil,DAP,109.36993357080364,6.871849520245221,158.66664499826425,145.0054856262307,30.406261018375016,438.95913979053,6.249866682210049,2017,77.91335028783594,535.8299814932768,Drip,3.8319802667112377
Punjab,Rice,Loamy,DAP,11.269480519965663,62.20446196202528,129.89596339408718,168.4146042451412,26.538216614965258,1495.677655358204,5.525474475465968,2024,36.42174805266229,415.68976953371305,Flood,2.7698864163435752
Haryana,Wheat,Red Soil,Organic,56.0079513355009,54.588410663781175,131.1229420440444,163.96176323922057,30.15868641813046,479.0036944012496,6.937429407348529,2023,76.84195825029772,383.2790514385641,Drip,1.4566133487080195
Karnataka,Maize,Alluvial,Organic,94.95688978108927,109.798310749215,80.09256607991632,169.5602567410457,23.509393210866744,467.1580815289415,6.401298156138738,2007,84.61176744868177,528.1583405085835,,1.4331909605513602
Maharashtra,Cotton,Alluvial,DAP,66.18744497377328,103.84255737549849,134.15617224930733,98.50235205678948,34.7836894044487,265.24765173719595,6.397566022381668,2001,52.97000368610611,481.8139934209838,Sprinkler,1.684097452226499
Gujarat,Wheat,Red Soil,Compost,48.58447290344528,6.674992906090752,71.17298371952008,231.7084800353386,34.125226316987515,249.50742544660955,7.647040950964564,2000,67.83811769898483,715.7215887447737,Sprinkler,3.5237380751709604
Gujarat,Wheat,Red Soil,DAP,97.71447546209043,48.120483368050806,125.14153794461885,295.21944368038623,32.61678402329092,758.5500162476723,6.057819984803289,2006,55.80856392580958,503.6603656563079,Sprinkler,2.7116044073355225
Punjab,Cotton,Loamy,DAP,77.0334602294442,11.687810336065684,147.30596665312973,219.09405344382228,26.054154432185864,227.89562500902804,7.3926437838865615,2008,56.26590329928771,681.4252827700275,Sprinkler,3.879289550373507
Odisha,Groundnut,Sandy,Organic,64.44086046643385,118.32058674822906,99.62002388244665,117.90843667176274,25.880541878106783,461.9675215529372,5.994592479726416,2002,48.6222533464872,382.961640189566,Sprinkler,1.4156396856796567
Maharashtra,Sugarcane,Black Soil,DAP,47.49564478046934,68.41247730332866,8.875023241063516,184.71111266336447,23.55551595290496,290.2838162716685,6.708048829133215,2018,75.72777722701949,342.67870604382927,Sprinkler,1.9597876960428715
Punjab,Groundnut,Loamy,Organic,98.33505584178155,80.13488902385903,99.44812197941296,141.30850629438018,21.48937699647169,612.3781452505076,6.723603877854412,2012,86.17059384999031,387.9914867474465,Drip,3.856145664752396
Odisha,Cotton,Red Soil,Urea,100.8568396502229,24.098551108706214,113.14018224703293,140.4963255343689,25.12558735134719,233.6183527263325,7.913791773449446,2004,86.44505155406767,618.9129781453466,,0.5287647554371401
Maharashtra,Cotton,Loamy,Compost,32.47745382518939,30.96675263191125,39.098896970593806,170.0760835694135,17.840531707621803,100.0,6.939214199073732,2021,40.48687709249603,675.6101589693534,Drip,1.1740483602574674
Odisha,Rice,Loamy,Organic,35.79705305125853,13.947328833156687,170.33642589447803,143.4622407353313,26.85463172820081,807.4542253343619,5.5214003328244265,2022,82.48461897939396,421.7820546047366,Sprinkler,1.938603828180119
Uttar Pradesh,Wheat,Loamy,Compost,61.635474713234245,72.67342820981017,101.53221288979628,208.4762083172658,28.18979458410984,493.4333677360393,7.575002261630379,2023,74.24588648562732,453.94339702404426,Sprinkler,4.93365235870848
Uttar Pradesh,Soybean,Loamy,Organic,107.58543757753804,73.40697852468429,9.889921878609128,151.7919364540712,27.106609394667597,416.35170980460214,5.683883968986628,2012,45.17024404141736,383.10190897875,Drip,0.031925480748858
Maharashtra,Sugarcane,Clay,Compost,117.80501718143287,42.51626223295653,98.87284653871612,208.88583404312163,32.130920605205404,598.2427545541519,7.216475934033338,2018,34.03707677529087,318.8360152881613,Drip,0.4779696237306873
Madhya Pradesh,Sugarcane,Loamy,Compost,139.36728832463257,40.88741221717293,45.186651095419975,191.71107875635815,30.570566015628728,412.91212583793913,6.961833795825083,2022,46.07983601306268,571.841169777663,Drip,0.5343228249892914
Karnataka,Sugarcane,Loamy,Organic,125.93742802240664,58.31408987501703,81.13265255762921,72.91234483723242,24.0404134205942,445.2382980761438,6.199817762301465,2004,84.73249420689154,522.3020302962163,Sprinkler,0.7908692052800964
Odisha,Rice,Alluvial,Organic,84.02522050918728,26.02686067758112,59.49342400539568,301.7635159548269,29.43037662889566,686.9913691390532,7.190246880585969,2003,67.99072049374634,501.0487982673876,Sprinkler,0.6619771360826306
Punjab,Sugarcane,Loamy,DAP,85.4403436595272,92.75870852847432,79.78857965547446,154.4664556225735,37.09739291740494,408.9587628427669,6.918603377250715,2012,73.2632796538723,359.994346283662,Flood,1.7838733559192372
Karnataka,Groundnut,Red Soil,Urea,43.385513435353126,35.587927395746064,161.01432786629937,269.9053508932224,29.994962385692038,459.06530769263014,6.165404662498637,2008,45.42914106654575,663.9956681828661,Flood,4.336462701641283
Tamil Nadu,Soybean,Clay,Compost,113.44383013202986,111.33188369908994,48.82849386631196,164.9206591696648,32.155049655914496,387.6082478434901,7.906411571166142,2023,73.1632893344892,449.6643261950527,Drip,2.026582805405346
Maharashtra,Soybean,Black Soil,Organic,52.33240354851352,63.78999553092491,50.95482607989113,135.80134229271357,32.73458066707502,273.39075432774445,6.623079685644023,2020,31.687290376675424,553.3626424816475,Sprinkler,0.5528949918158471
Tamil Nadu,Cotton,Sandy,Organic,86.5769691236906,45.615900495362325,149.08048352511656,297.7554214402441,17.81051907959226,345.11319488307095,6.909163225742054,2022,52.51928074638083,354.5438594755276,Flood,3.9865695272062815
Uttar Pradesh,Wheat,Black Soil,Urea,137.92055456916285,92.18667504638276,63.5775942384877,115.72122834940068,34.48944028545334,519.92775101547,5.489025297751807,2001,67.60520091253987,480.9474810379963,Sprinkler,1.999593551172355
Uttar Pradesh,Cotton,Alluvial,Organic,105.96709366977758,117.33298735023423,12.976129354845982,98.15879638514464,37.851732013965645,201.60086041333238,7.566408769479041,2007,38.76579393247921,529.1374456238584,Sprinkler,0.4942632695685292
Punjab,Rice,Red Soil,Urea,35.17738375316022,7.520716549804021,137.61850991991457,139.61268744629777,27.888887731498325,795.5461307887155,6.8777463724668095,2013,79.38021446681608,532.7075218053308,Flood,0.8977889263264045
Uttar Pradesh,Cotton,Red Soil,Compost,93.08298301410078,45.9268453779256,160.04393869377762,48.34996421879627,31.219930308882123,295.26915354385903,6.916906832763819,2009,44.10187792871512,515.4648543236625,Drip,3.1209603507047534
Maharashtra,Cotton,Loamy,Organic,103.73773290935092,27.240887190055545,80.45823519840789,129.50249958558854,34.941358486681246,162.7415086789228,6.057531124731792,2021,69.13686676910677,549.4522492048773,Flood,2.685942467903509
Karnataka,Wheat,Red Soil,Urea,74.48434792946153,83.80437786291125,130.01397414988014,122.8501085325858,20.934477950849104,482.1908364588448,6.524559643108225,2006,54.31182855451978,386.9479543967039,Drip,1.7187925617375284
Punjab,Rice,Alluvial,Urea,107.00864392349852,114.73613522964952,197.91637104066152,227.381306999789,21.181623790090303,2162.328772885751,6.91334854989163,2014,65.76261572865883,519.737260543966,Sprinkler,0.3127638407829858
Punjab,Rice,Red Soil,DAP,116.10773607332445,46.0254349715005,112.74200558360312,237.38014220279257,38.213797496462654,2168.061788669625,7.976795343420286,2022,36.44703315773449,511.37576834802775,Drip,3.2520422877097497
Karnataka,Sugarcane,Loamy,Urea,140.858000756195,100.88961702206294,62.12985018255092,198.711501555856,30.266333523989505,568.3992355813741,6.624136123673282,2023,31.01476799529644,523.1672684195061,Flood,0.7350169117581278
Punjab,Rice,Sandy,Compost,98.0955120630117,53.98654439307902,37.59204946225339,199.6267875907365,25.99487840149149,941.708033901698,5.553069907861749,2013,84.57386564281808,507.23452173191816,Sprinkler,2.953295555189191
Madhya Pradesh,Groundnut,Black Soil,DAP,94.61244623695674,99.30165981929976,157.48289735498278,281.4969674210824,34.26571866356511,842.0063985848194,6.098103615257974,2001,46.17780052603096,372.6787226086602,Sprinkler,2.085785892242262
Haryana,Groundnut,Sandy,Compost,72.63031484570811,70.72770971082531,115.6352133765026,239.30898393045405,29.48420676751337,728.3512340378567,6.330040216525589,2006,79.18062016682754,368.2200247891026,Flood,0.613513095900045
Uttar Pradesh,Maize,Alluvial,Compost,108.49822642985468,77.47344735793075,76.1154339304625,148.83023663199725,23.627993982512,411.45871169505597,6.567170957981274,2020,89.961018028332,278.57318141154485,Flood,0.4774517251092341
Maharashtra,Groundnut,Red Soil,Organic,57.09236199589139,81.19571416807696,172.5985823920985,184.7081289975708,29.95281824755041,584.3382914128443,7.570308582859783,2015,42.685875479934666,581.7534509845298,Flood,0.2806170069176716
Andhra Pradesh,Sugarcane,Red Soil,Urea,71.10177613099124,85.76158184072362,106.39470919175328,226.9654792057097,32.67946660539621,460.8655154029196,7.281368637224773,2018,45.91024447100133,582.7657509735199,Drip,0.5540019357420395
Odisha,Wheat,Red Soil,DAP,36.85171257116152,83.5062609980728,167.17482073089369,47.7183765403097,25.165835722656126,332.13961550487005,5.55375258649778,2001,69.77158725807993,584.355029122212,Flood,0.3435444482593017
Gujarat,Sugarcane,Loamy,Compost,117.23232693087412,31.434662278805963,37.801457065277305,171.81734115590984,32.31879189331472,289.9240199499814,6.355707196317422,2024,87.92691807603728,530.6789962461452,Sprinkler,1.919708209977363
Odisha,Soybean,Black Soil,DAP,29.598975827773284,33.17332089243119,93.61945057987352,295.50853664481866,25.09823761969644,346.6125644468192,7.025379491598162,2008,84.94886089144464,286.68807822818894,Sprinkler,1.826506294903316
Uttar Pradesh,Wheat,Clay,DAP,72.78637587127123,44.53235027878829,121.05062139129348,273.77471954186046,24.183791798470462,524.7022515723859,6.982467392345295,2009,60.17253120393509,397.3289508214734,,1.7646099914593576
Haryana,Sugarcane,Alluvial,Urea,86.85597706169906,89.36330733998982,113.99304678319888,149.10818866995135,26.7705984426104,591.6870490870477,6.773024936508874,2021,77.70661695160348,517.0415417593111,Drip,2.0538290889587936
Uttar Pradesh,Maize,Sandy,Urea,86.47982676038733,46.4470546503073,111.09817162426188,215.52334501286,20.122277808435328,719.5638570870213,6.989597279085113,2018,38.14475118599407,513.5518002791796,Drip,3.372470900692534
Punjab,Soybean,Sandy,Compost,86.65541069025954,111.61767619693236,52.271026657560206,233.0848927743164,30.421662917845808,352.7295855872406,6.145679556460088,2022,88.64629105224074,477.72517868479787,Sprinkler,4.89644086574336
Maharashtra,Rice,Alluvial,DAP,81.10725393115283,72.98979386156503,130.45455273930546,221.61632918495383,31.421996689296424,1632.077145925586,6.491134687827605,2022,87.86119404215918,536.8917202908247,Flood,0.5237051893302087
Andhra Pradesh,Groundnut,Black Soil,Organic,33.80104781264013,30.582903190294957,43.96344895574595,282.7833525436226,18.624220132199728,201.11042816160585,6.664242272663334,2002,39.82373747275026,501.16517076852455,Sprinkler,1.7723694508344623
Odisha,Groundnut,Sandy,Organic,108.87149485741766,47.03116919366937,138.07488547662464,199.81693762402935,21.887052824162307,758.8677388389696,6.282465671111207,2012,47.9653874881864,512.0770465551361,Sprinkler,0.1631495741184641
Madhya Pradesh,Soybean,Clay,Organic,108.09249236267792,86.42115409991118,18.31103415042507,235.18017517626308,29.296176101755425,442.3487541470498,7.088176608325444,2015,36.009299850406016,436.0934667167984,Sprinkler,0.2559904927572725
Haryana,Rice,Alluvial,DAP,81.71146404143543,77.33878750475428,103.76458802402702,251.36480839420292,30.91809146939884,1359.3179315196426,7.136062097024453,2017,46.30305593389078,598.2010986121591,Sprinkler,2.124595316795796
Madhya Pradesh,Soybean,Black Soil,Urea,119.32762853040964,19.999985679633905,162.63495842163448,85.89831074259317,37.90627332213187,575.6290314298154,7.893274108578561,2006,78.95734736491241,456.9228391319616,Flood,1.3333242986843794
Tamil Nadu,Cotton,Alluvial,Compost,30.47343246263846,107.2884795946056,112.42563671365129,215.6095699742069,27.290986197037807,382.920268829351,7.707719752761116,2013,52.69893642991557,366.93509169793737,Drip,2.840381509764786
Odisha,Soybean,Loamy,Urea,140.40583573745363,97.45584897924608,87.36647669938279,107.39407985275376,29.739851001238485,694.0114789527769,6.442347920072745,2009,35.3038180288055,422.9000987181272,Sprinkler,1.1091283213011147
Andhra Pradesh,Rice,Alluvial,DAP,12.188084994903644,109.39381674943962,165.33180991424047,184.20071685979457,32.01774568670395,1038.5494127830173,7.159916163289218,2010,50.53353148673428,465.153380863802,Flood,0.2730108369351693
Gujarat,Maize,Clay,Organic,94.35649896409625,64.18631158703539,128.23692950654677,128.8787998831029,37.85325307179221,634.9411480047612,6.123461588714101,2023,88.88300005447681,599.4002788368847,Sprinkler,4.112288546984756
Uttar Pradesh,Wheat,Black Soil,Urea,78.77741373660419,23.32002688401269,124.19980171143987,187.88030087375637,23.6449012410788,494.1708833714437,5.922141978859403,2005,67.78101571555217,495.7732001565207,Sprinkler,0.1730523810130535
Haryana,Wheat,Alluvial,Organic,48.67423534291675,97.5085445832677,73.03261537632956,223.90295346487176,22.111136121806943,367.2425497048009,5.658504084557989,2021,54.96965678436946,481.3851781034351,Drip,0.4188872569001703
Karnataka,Maize,Alluvial,Organic,69.59011471790781,117.81029188725832,68.6713560275871,44.24474536401832,38.401835027758,279.44781712320065,7.378298116211607,2000,39.9923108098362,375.13365752373727,Flood,0.648628120097523
Karnataka,Groundnut,Sandy,Urea,81.4212540701334,80.11125629430556,130.09815756227567,173.8664990884755,28.919925679140512,705.7036246616087,6.66736933131831,2014,89.17060783702169,578.5482589829576,Sprinkler,10.71215020642576
Madhya Pradesh,Rice,Clay,Organic,33.70116217051832,79.62930991496323,141.52098043695688,177.03815219840007,20.474077646858238,1362.145104794549,6.548660318644284,2024,79.25094055578774,434.8047845976614,Sprinkler,1.0786553517336104
Gujarat,Maize,Sandy,Compost,61.67921739587566,99.28487720687494,133.28313563043784,292.9495360954427,22.992588785448817,628.269389715952,6.72317274588714,2002,46.88863814705516,489.9972141058664,Sprinkler,1.3931401860053825
Punjab,Sugarcane,Clay,Compost,126.77260399915494,80.44516117335665,168.41189540253026,173.82082490953584,24.591402793212023,726.3846353715136,7.963369929918244,2023,34.204121743271365,648.0183076881865,Sprinkler,2.9367167289118337
Madhya Pradesh,Groundnut,Sandy,Urea,103.93551988705669,29.85810771985906,93.5702978411522,186.84552228979007,22.170037235120603,426.83925518190586,6.574808357966606,2007,33.39753344265348,550.8763331049305,Flood,2.023487563131268
